date,restaurant_id,dish_id,dish_name,category,price,unit_cost,promotion,day_of_week,holiday,temperature,rainfall,units_prepared,units_sold,units_wasted,waste_reason,opening_inventory,closing_inventory
2026-03-23,R001,D01,Biryani,Main,180,80,0,Monday,0,30.5,0.0,70,58,14,overproduction,2,0
2026-03-23,R001,D02,Paneer Butter Masala,Main,220,95,1,Monday,0,30.5,0.0,44,44,0,none,0,0
2026-03-23,R001,D03,Dal Tadka,Side,120,38,0,Monday,0,30.5,0.0,41,35,8,overproduction,2,0
2026-03-23,R001,D04,Veg Fried Rice,Main,150,55,1,Monday,0,30.5,0.0,40,44,0,none,4,0
2026-03-23,R001,D05,Butter Naan,Bread,45,12,0,Monday,0,30.5,0.0,100,80,20,overproduction,0,0
2026-03-24,R001,D01,Biryani,Main,180,80,0,Tuesday,0,32.0,0.0,70,60,10,overproduction,0,0
2026-03-24,R001,D02,Paneer Butter Masala,Main,220,95,0,Tuesday,0,32.0,0.0,45,33,12,overproduction,0,0
2026-03-24,R001,D03,Dal Tadka,Side,120,38,0,Tuesday,0,32.0,0.0,38,31,7,overproduction,0,0
2026-03-24,R001,D04,Veg Fried Rice,Main,150,55,0,Tuesday,0,32.0,0.0,41,39,2,overproduction,0,0
2026-03-24,R001,D05,Butter Naan,Bread,45,12,0,Tuesday,0,32.0,0.0,110,84,26,overproduction,0,0
2026-03-25,R001,D01,Biryani,Main,180,80,0,Wednesday,0,31.8,0.0,75,55,20,other,0,0
2026-03-25,R001,D02,Paneer Butter Masala,Main,220,95,1,Wednesday,0,31.8,0.0,46,50,0,none,4,0
2026-03-25,R001,D03,Dal Tadka,Side,120,38,0,Wednesday,0,31.8,0.0,37,30,7,expiry,0,0
2026-03-25,R001,D04,Veg Fried Rice,Main,150,55,1,Wednesday,0,31.8,0.0,42,42,0,none,0,0
2026-03-25,R001,D05,Butter Naan,Bread,45,12,0,Wednesday,0,31.8,0.0,110,90,20,prep_error,0,0
2026-03-26,R001,D01,Biryani,Main,180,80,0,Thursday,0,32.8,0.0,75,59,16,expiry,0,0
2026-03-26,R001,D02,Paneer Butter Masala,Main,220,95,0,Thursday,0,32.8,0.0,48,42,6,overproduction,0,0
2026-03-26,R001,D03,Dal Tadka,Side,120,38,0,Thursday,0,32.8,0.0,36,27,13,expiry,4,0
2026-03-26,R001,D04,Veg Fried Rice,Main,150,55,0,Thursday,0,32.8,0.0,43,40,3,overproduction,0,0
2026-03-26,R001,D05,Butter Naan,Bread,45,12,0,Thursday,0,32.8,0.0,110,96,14,overproduction,0,0
2026-03-27,R001,D01,Biryani,Main,180,80,0,Friday,0,32.8,0.0,95,71,26,overproduction,2,0
2026-03-27,R001,D02,Paneer Butter Masala,Main,220,95,0,Friday,0,32.8,0.0,54,45,9,overproduction,0,0
2026-03-27,R001,D03,Dal Tadka,Side,120,38,0,Friday,0,32.8,0.0,35,31,4,other,0,0
2026-03-27,R001,D04,Veg Fried Rice,Main,150,55,0,Friday,0,32.8,0.0,45,38,9,overproduction,2,0
2026-03-27,R001,D05,Butter Naan,Bread,45,12,0,Friday,0,32.8,0.0,130,119,13,overproduction,2,0
2026-03-28,R001,D01,Biryani,Main,180,80,0,Saturday,0,34.0,0.0,110,103,7,overproduction,0,0
2026-03-28,R001,D02,Paneer Butter Masala,Main,220,95,0,Saturday,0,34.0,0.0,60,54,6,overproduction,0,0
2026-03-28,R001,D03,Dal Tadka,Side,120,38,0,Saturday,0,34.0,0.0,42,40,2,overproduction,0,0
2026-03-28,R001,D04,Veg Fried Rice,Main,150,55,0,Saturday,0,34.0,0.0,48,45,5,overproduction,2,0
2026-03-28,R001,D05,Butter Naan,Bread,45,12,0,Saturday,0,34.0,0.0,140,136,4,expiry,0,0
2026-03-29,R001,D01,Biryani,Main,180,80,0,Sunday,0,31.8,0.0,105,92,15,overproduction,2,0
2026-03-29,R001,D02,Paneer Butter Masala,Main,220,95,0,Sunday,0,31.8,0.0,57,57,0,none,0,0
2026-03-29,R001,D03,Dal Tadka,Side,120,38,0,Sunday,0,31.8,0.0,46,39,7,overproduction,0,0
2026-03-29,R001,D04,Veg Fried Rice,Main,150,55,0,Sunday,0,31.8,0.0,45,40,5,overproduction,0,0
2026-03-29,R001,D05,Butter Naan,Bread,45,12,0,Sunday,0,31.8,0.0,140,125,15,overproduction,0,0
2026-03-30,R001,D01,Biryani,Main,180,80,0,Monday,0,35.6,0.0,70,59,13,overproduction,2,0
2026-03-30,R001,D02,Paneer Butter Masala,Main,220,95,0,Monday,0,35.6,0.0,49,39,10,prep_error,0,0
2026-03-30,R001,D03,Dal Tadka,Side,120,38,0,Monday,0,35.6,0.0,42,35,9,expiry,2,0
2026-03-30,R001,D04,Veg Fried Rice,Main,150,55,0,Monday,0,35.6,0.0,45,36,9,prep_error,0,0
2026-03-30,R001,D05,Butter Naan,Bread,45,12,0,Monday,0,35.6,0.0,110,90,20,expiry,0,0
2026-03-31,R001,D01,Biryani,Main,180,80,0,Tuesday,0,38.4,0.0,70,55,15,overproduction,0,0
2026-03-31,R001,D02,Paneer Butter Masala,Main,220,95,0,Tuesday,0,38.4,0.0,49,42,7,expiry,0,0
2026-03-31,R001,D03,Dal Tadka,Side,120,38,0,Tuesday,0,38.4,0.0,40,29,11,overproduction,0,0
2026-03-31,R001,D04,Veg Fried Rice,Main,150,55,0,Tuesday,0,38.4,0.0,46,39,7,other,0,0
2026-03-31,R001,D05,Butter Naan,Bread,45,12,0,Tuesday,0,38.4,0.0,120,91,31,overproduction,2,0
2026-04-01,R001,D01,Biryani,Main,180,80,0,Wednesday,0,36.3,0.0,75,50,29,other,4,0
2026-04-01,R001,D02,Paneer Butter Masala,Main,220,95,1,Wednesday,0,36.3,0.0,52,51,1,overproduction,0,0
